序号,目录,说明,图片路径,来源站点,待核原因,核实状态
28,"art","德昂族水鼓舞 · 配图","/images/art/de-ang-water-drum-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
29,"art","独龙族民歌 · 配图","/images/art/derung-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
30,"art","独龙族纺织技艺 · 配图","/images/art/derung-weaving-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
31,"art","哈萨克族冬不拉艺术 · 配图","/images/art/dombra-art-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
32,"art","侗族大歌 · 配图","/images/art/dong-grand-chorus-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
33,"art","侗戏 · 配图","/images/art/dong-opera-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
34,"art","侗族木构建筑营造技艺 · 配图","/images/art/dong-timber-architecture-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
35,"art","东巴画 · 配图","/images/art/dongba-painting-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
36,"art","东巴纸制作技艺 · 配图","/images/art/dongba-paper-making-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
37,"art","东乡族服饰 · 配图","/images/art/dongxiang-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
38,"art","东乡族擀毡技艺 · 配图","/images/art/dongxiang-felt-making-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
39,"art","东乡族花儿 · 配图","/images/art/dongxiang-hua-er-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
40,"art","鄂温克族桦树皮制作技艺 · 配图","/images/art/evenki-birch-bark-craft-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
41,"art","鄂温克族服饰 · 配图","/images/art/evenki-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
42,"art","鄂温克族瑟宾节歌舞 · 配图","/images/art/evenki-sebin-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
43,"art","高山族拉手舞 · 配图","/images/art/gaoshan-hand-holding-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
44,"art","朝鲜族伽倻琴艺术 · 配图","/images/art/gayageum-art-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
45,"art","仡佬族民歌 · 配图","/images/art/gelao-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
46,"art","仡佬族傩戏 · 配图","/images/art/gelao-nuo-opera-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
47,"art","仡佬族三幺台 · 配图","/images/art/gelao-sanyaotai-feast-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
48,"art","格萨（斯）尔史诗 · 配图","/images/art/gesar-epic-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
49,"art","京族服饰 · 配图","/images/art/gin-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
50,"art","京族独弦琴艺术 · 配图","/images/art/gin-dan-bao-single-string-zither-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
51,"art","京族哈节 · 配图","/images/art/gin-ha-festival-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
52,"art","哈尼族服饰 · 配图","/images/art/hani-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
53,"art","哈尼族棕扇舞 · 配图","/images/art/hani-palm-fan-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
54,"art","哈尼族多声部民歌 · 配图","/images/art/hani-polyphonic-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
55,"art","赫哲族鱼皮制作技艺 · 配图","/images/art/hezhen-fish-skin-craft-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
56,"art","赫哲族伊玛堪 · 配图","/images/art/hezhen-imakan-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
57,"art","赫哲族嫁令阔 · 配图","/images/art/hezhen-jialingkuo-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
58,"art","花儿 · 配图","/images/art/hua-er-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
59,"art","回族砖雕 · 配图","/images/art/hui-brick-carving-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
60,"art","回族服饰 · 配图","/images/art/hui-clothing-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
61,"art","阿昌族户撒刀锻制技艺 · 配图","/images/art/husai-knife-forging-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
62,"art","高山族织布 · 配图","/images/art/indigenous-weaving-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
63,"art","景颇族服饰 · 配图","/images/art/jingpo-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
64,"art","景颇族织锦 · 配图","/images/art/jingpo-weaving-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
65,"art","基诺族大鼓舞 · 配图","/images/art/jino-big-drum-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
66,"art","基诺族服饰 · 配图","/images/art/jino-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
67,"art","哈萨克族阿依特斯 · 配图","/images/art/kazakh-aitys-song-contest-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
68,"art","哈萨克族服饰 · 配图","/images/art/kazakh-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
69,"art","呼麦 · 配图","/images/art/khoomei-mongolian-throat-singing-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
70,"art","傈僳族刀杆节 · 配图","/images/art/knife-pole-festival-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
71,"art","库姆孜艺术 · 配图","/images/art/komuz-art-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
72,"art","柯尔克孜族刺绣 · 配图","/images/art/kyrgyz-embroidery-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
73,"art","拉祜族服饰 · 配图","/images/art/lahu-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
74,"art","拉祜族史诗《牡帕密帕》 · 配图","/images/art/lahu-epic-mupamipa-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
75,"art","拉祜族芦笙舞 · 配图","/images/art/lahu-lusheng-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
76,"art","珞巴族竹编 · 配图","/images/art/lhoba-bamboo-weaving-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
77,"art","珞巴族服饰 · 配图","/images/art/lhoba-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
78,"art","黎族树皮布制作技艺 · 配图","/images/art/li-bark-cloth-making-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
79,"art","黎族传统纺染织绣技艺 · 配图","/images/art/li-textile-techniques-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
80,"art","傈僳族服饰 · 配图","/images/art/lisu-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
81,"art","傈僳族民歌 · 配图","/images/art/lisu-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
82,"art","朝鲜族长鼓舞 · 配图","/images/art/long-drum-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
83,"art","达斡尔族鲁日格勒 · 配图","/images/art/lurigele-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
84,"art","芦笙舞 · 配图","/images/art/lusheng-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
85,"art","柯尔克孜族史诗《玛纳斯》 · 配图","/images/art/manas-epic-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
86,"art","满族剪纸 · 配图","/images/art/manchu-paper-cutting-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
87,"art","满族说部 · 配图","/images/art/manchu-storytelling-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
88,"art","毛南族花竹帽 · 配图","/images/art/maonan-bamboo-hat-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
89,"art","毛南族肥套 · 配图","/images/art/maonan-feitao-thanksgiving-ritual-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
90,"art","毛南族傩戏 · 配图","/images/art/maonan-nuo-opera-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
91,"art","维吾尔族麦西热甫 · 配图","/images/art/meshrep-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
92,"art","苗绣 · 配图","/images/art/miao-embroidery-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
93,"art","苗族银饰锻制技艺 · 配图","/images/art/miao-silver-ornament-forging-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
94,"art","门巴族服饰 · 配图","/images/art/monpa-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
95,"art","门巴族民歌 · 配图","/images/art/monpa-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
96,"art","门巴族木碗制作技艺 · 配图","/images/art/monpa-wooden-bowl-craft-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
97,"art","马头琴 · 配图","/images/art/morin-khuur-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
98,"art","仫佬族古歌 · 配图","/images/art/mulao-ancient-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
99,"art","仫佬族依饭节师公舞 · 配图","/images/art/mulao-shigong-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
100,"art","仫佬族走坡歌 · 配图","/images/art/mulao-zoupo-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
101,"art","目瑙纵歌 · 配图","/images/art/munao-zongge-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
102,"art","纳西古乐 · 配图","/images/art/naxi-ancient-music-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
103,"art","朝鲜族农乐舞 · 配图","/images/art/nongak-farmers-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
104,"art","怒族服饰 · 配图","/images/art/nu-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
105,"art","怒族达比亚舞 · 配图","/images/art/nu-dapia-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
106,"art","怒族民歌 · 配图","/images/art/nu-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
107,"art","鄂伦春族狍皮制作技艺 · 配图","/images/art/oroqen-roe-skin-craft-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
108,"art","鄂伦春族民歌（赞达仁） · 配图","/images/art/oroqen-zandaren-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
109,"art","京剧 · 配图","/images/art/peking-opera-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
110,"art","高山族杵舞 · 配图","/images/art/pestle-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
111,"art","普米族服饰 · 配图","/images/art/pumi-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
112,"art","普米族搓蹉舞 · 配图","/images/art/pumi-cuocuo-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
113,"art","普米族四弦舞 · 配图","/images/art/pumi-four-string-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
114,"art","羌族刺绣 · 配图","/images/art/qiang-embroidery-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
115,"art","羌笛 · 配图","/images/art/qiang-flute-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
116,"art","羌族碉楼营造技艺 · 配图","/images/art/qiang-watchtower-construction-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
117,"art","旗袍 · 配图","/images/art/qipao-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
118,"art","俄罗斯族面包制作技艺 · 配图","/images/art/russian-bread-making-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
119,"art","俄罗斯族服饰 · 配图","/images/art/russian-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
120,"art","俄罗斯族民歌 · 配图","/images/art/russian-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
121,"art","撒拉族服饰 · 配图","/images/art/salar-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
122,"art","撒拉族刺绣 · 配图","/images/art/salar-embroidery-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
123,"art","撒拉族篱笆楼营造技艺 · 配图","/images/art/salar-fence-house-construction-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
124,"art","畲族医药 · 配图","/images/art/she-medicine-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
125,"art","畲族山歌 · 配图","/images/art/she-mountain-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
126,"art","畲族凤凰装 · 配图","/images/art/she-phoenix-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
127,"art","水书习俗 · 配图","/images/art/shuishu-customs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
128,"art","水族马尾绣 · 配图","/images/art/sui-horsetail-embroidery-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
129,"art","水族剪纸 · 配图","/images/art/sui-paper-cutting-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
130,"art","塔吉克族鹰笛 · 配图","/images/art/tajik-eagle-bone-flute-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
131,"art","塔吉克族鹰舞 · 配图","/images/art/tajik-eagle-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
132,"art","塔吉克族民歌 · 配图","/images/art/tajik-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
133,"art","塔塔尔族服饰 · 配图","/images/art/tatar-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
134,"art","塔塔尔族民歌 · 配图","/images/art/tatar-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
135,"art","塔塔尔族糕点制作技艺 · 配图","/images/art/tatar-pastry-making-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
136,"art","唐卡 · 配图","/images/art/thangka-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
137,"art","藏戏 · 配图","/images/art/tibetan-opera-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
138,"art","火把节歌舞 · 配图","/images/art/torch-festival-songs-and-dances-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
139,"art","土族盘绣 · 配图","/images/art/tu-coil-embroidery-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
140,"art","土族轮子秋 · 配图","/images/art/tu-wheel-swing-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
141,"art","土家族打溜子 · 配图","/images/art/tujia-daliuzi-percussion-ensemble-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
142,"art","十二木卡姆 · 配图","/images/art/twelve-muqam-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
143,"art","蒙古族长调 · 配图","/images/art/urtiin-duu-mongolian-long-song-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
144,"art","乌孜别克族艾特莱斯绸 · 配图","/images/art/uzbek-atlas-silk-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
145,"art","乌孜别克族刺绣 · 配图","/images/art/uzbek-embroidery-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
146,"art","乌孜别克族赛乃姆 · 配图","/images/art/uzbek-sainaimu-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
147,"art","佤族民歌 · 配图","/images/art/wa-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
148,"art","佤族织锦 · 配图","/images/art/wa-weaving-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
149,"art","佤族木鼓舞 · 配图","/images/art/wa-wooden-drum-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
150,"art","锡伯族贝伦舞 · 配图","/images/art/xibe-beilun-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
151,"art","锡伯族弓箭制作技艺 · 配图","/images/art/xibe-bow-making-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
152,"art","锡伯族民歌 · 配图","/images/art/xibe-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
153,"art","西兰卡普 · 配图","/images/art/xilankapu-brocade-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
154,"art","瑶族服饰 · 配图","/images/art/yao-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
155,"art","瑶族刺绣 · 配图","/images/art/yao-embroidery-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
156,"art","瑶族长鼓舞 · 配图","/images/art/yao-long-drum-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
157,"art","彝族刺绣 · 配图","/images/art/yi-embroidery-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
158,"art","彝族漆器 · 配图","/images/art/yi-lacquerware-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
159,"art","裕固族服饰 · 配图","/images/art/yugur-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
160,"art","裕固族刺绣 · 配图","/images/art/yugur-embroidery-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
161,"art","裕固族民歌 · 配图","/images/art/yugur-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
162,"art","壮锦 · 配图","/images/art/zhuang-brocade-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
163,"art","壮族铜鼓习俗 · 配图","/images/art/zhuang-bronze-drum-customs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
164,"art","壮族山歌 · 配图","/images/art/zhuang-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
165,"ethnic","阿昌族 · 配图","/images/ethnic/achang/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
166,"ethnic","cover2","/images/ethnic/achang/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
167,"ethnic","白族、蝴蝶会 等 · 配图","/images/ethnic/bai/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
168,"ethnic","cover2","/images/ethnic/bai/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
169,"ethnic","保安族 · 配图","/images/ethnic/baoan/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
170,"ethnic","布朗族 · 配图","/images/ethnic/bulang/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
171,"ethnic","cover2","/images/ethnic/bulang/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
172,"ethnic","布依族、牛王节 等 · 配图","/images/ethnic/buyi/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
173,"ethnic","cover2","/images/ethnic/buyi/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
174,"ethnic","朝鲜族、端午节 等 · 配图","/images/ethnic/chaoxian/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
175,"ethnic","cover2","/images/ethnic/chaoxian/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
176,"ethnic","傣族、赶摆 等 · 配图","/images/ethnic/dai/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
